circuit_name,description
hsa04020_c-o-m-p-o-u-n-d_backward,
hsa04020_c-o-m-p-o-u-n-d_backward,
hsa04020_c-o-m-p-o-u-n-d_backward,
hsa04020_c-o-m-p-o-u-n-d_backward,
hsa04924_ITPR1-ITPR2-ITPR3_backward,
hsa04924_PDE3A-PDE3B_backward,
hsa04924_REN_backward,
hsa04924_KCNMA1_backward,
hsa04924_PDE1A-PDE1C-PDE1B_backward,
hsa04924_KCNJ2_backward,
hsa04924_PPP3CA-PPP3CB-PPP3CC-PPP3R1-PPP3R2_backward,
hsa04924_c-o-m-p-o-u-n-d_backward,
hsa04740_CNGB1-CNGA2-CNGA4_backward,
hsa04740_ANO2_backward,
hsa04740_CNGA3_backward,
hsa04740_PRKG1-PRKG2_backward,
hsa04740_PDE1A-PDE1C-PDE1B_backward,
hsa04740_CNGA3_backward,
hsa04740_CNGB1-CNGA2-CNGA4_backward,
hsa04740_PRKG1-PRKG2_backward,
hsa04740_PDE2A_backward,
hsa04614_ACE_backward,
hsa04614_AGTR1_backward,
hsa04614_AGTR2_backward,
hsa04614_MAS1_backward,
hsa04614_LNPEP_backward,
hsa04614_ATP6AP2_backward,
hsa04614_MRGPRD_backward,
hsa04614_PREP_backward,
hsa04925_ATF1-CREB3-CREB1-ATF2-ATF6B-CREB3L4-ATF4-CREB3L2-CREB3L3-CREB3L1-CREB5_backward,
hsa04925_ITPR1-ITPR2-ITPR3_backward,
hsa04925_KCNK3-KCNK9_backward,
hsa04925_PDE2A_backward,
hsa04925_CYP11B2_backward,
hsa04925_STAR_backward,
hsa04927_ITPR1-ITPR2-ITPR3_backward,
hsa04927_CACNA1I-CACNA1H-CACNA1G_backward,
hsa04927_STAR_backward,
hsa04927_MRAP_backward,
hsa04927_CYP11B1_backward,
hsa04927_NCEH1_backward,
hsa04927_CYP17A1_backward,
hsa04927_MRAP_backward,
hsa04024_CREBBP-EP300-CREB3-CREB1-CREB3L4-CREB3L2-CREB3L3-CREB3L1-CREB5_backward,
hsa04024_NFKB1-RELA-NFKBIA_backward,
hsa04024_CACNA1C-CACNA1D-CACNA1F-CACNA1S_backward,
hsa04024_RYR2_backward,
hsa04024_TNNI3_backward,
hsa04024_ATP1B4-ATP1A1-ATP1A2-ATP1A3-ATP1A4-ATP1B1-ATP1B2-ATP1B3-FXYD2_backward,
hsa04024_SLC9A1_backward,
hsa04024_AKT3-AKT1-AKT2_backward,
hsa04024_PLN_backward,
hsa04024_CFTR_backward,
